president,enddate,Approve,Disapprove
Joseph R. Biden Jr.,1/27/2021,52.571039,33.149758
Joseph R. Biden Jr.,2/2/2021,56.223818,35.629441
Joseph R. Biden Jr.,1/28/2021,53.571039,33.649758
Joseph R. Biden Jr.,1/29/2021,52.571039,34.149758
Joseph R. Biden Jr.,1/29/2021,53.130397,32.286074
Joseph R. Biden Jr.,1/28/2021,54.571039,35.149758
Joseph R. Biden Jr.,1/30/2021,53.904372,35.149758
Joseph R. Biden Jr.,1/31/2021,52.571039,35.149758
Joseph R. Biden Jr.,2/1/2021,57.428502,37.534089
Joseph R. Biden Jr.,2/1/2021,51.178181,35.15417
Joseph R. Biden Jr.,2/1/2021,55.571039,35.149758
Joseph R. Biden Jr.,2/1/2021,52.571039,35.149758
Joseph R. Biden Jr.,2/2/2021,47.372983,37.403336
Joseph R. Biden Jr.,2/2/2021,52.571039,35.149758
Joseph R. Biden Jr.,2/3/2021,52.571039,35.149758
Joseph R. Biden Jr.,2/4/2021,52.571039,36.149758
Joseph R. Biden Jr.,2/3/2021,55.662904,33.989944
Joseph R. Biden Jr.,2/3/2021,50.521631,38.117287
Joseph R. Biden Jr.,2/5/2021,52.571039,36.149758
Joseph R. Biden Jr.,2/6/2021,52.571039,36.149758
Joseph R. Biden Jr.,2/7/2021,53.571039,35.149758
Joseph R. Biden Jr.,2/8/2021,62.372983,38.403336
Joseph R. Biden Jr.,2/8/2021,53.571039,35.149758
Joseph R. Biden Jr.,2/9/2021,53.571039,35.149758
Joseph R. Biden Jr.,2/9/2021,51.372983,36.403336
Joseph R. Biden Jr.,2/10/2021,53.571039,35.149758
Joseph R. Biden Jr.,2/10/2021,55.662904,34.989944
Joseph R. Biden Jr.,2/11/2021,53.571039,35.149758
Joseph R. Biden Jr.,2/14/2021,59.017039,33.600971
Joseph R. Biden Jr.,2/12/2021,53.571039,35.149758
Joseph R. Biden Jr.,2/18/2021,55.223818,38.629441
Joseph R. Biden Jr.,2/13/2021,53.571039,36.149758
Joseph R. Biden Jr.,2/14/2021,52.178181,37.15417
Joseph R. Biden Jr.,2/14/2021,52.571039,36.149758
Joseph R. Biden Jr.,2/15/2021,52.571039,36.149758
Joseph R. Biden Jr.,2/15/2021,54.571039,36.649758
Joseph R. Biden Jr.,2/16/2021,52.571039,36.149758
Joseph R. Biden Jr.,2/16/2021,55.372983,36.403336
Joseph R. Biden Jr.,2/17/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/18/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/19/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/18/2021,54.662904,35.989944
Joseph R. Biden Jr.,2/20/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/20/2021,56.424431,34.863501
Joseph R. Biden Jr.,2/21/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/21/2021,55.571039,35.149758
Joseph R. Biden Jr.,2/22/2021,51.372983,37.403336
Joseph R. Biden Jr.,2/22/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/22/2021,52.372983,35.403336
Joseph R. Biden Jr.,2/23/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/24/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/24/2021,51.968534,36.83808
Joseph R. Biden Jr.,2/25/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/25/2021,55.662904,36.989944
Joseph R. Biden Jr.,2/26/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/27/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/27/2021,53.130397,33.286074
Joseph R. Biden Jr.,2/28/2021,52.571039,37.149758
Joseph R. Biden Jr.,2/28/2021,48.255997,37.666487
Joseph R. Biden Jr.,3/1/2021,51.520684,41.159991
Joseph R. Biden Jr.,3/1/2021,56.428502,39.534089
Joseph R. Biden Jr.,3/1/2021,52.571039,37.149758
Joseph R. Biden Jr.,3/3/2021,52.571039,38.149758
Joseph R. Biden Jr.,3/1/2021,54.571039,39.149758
Joseph R. Biden Jr.,3/2/2021,51.372983,38.403336
Joseph R. Biden Jr.,3/2/2021,52.571039,38.149758
Joseph R. Biden Jr.,3/4/2021,52.571039,38.149758
Joseph R. Biden Jr.,3/5/2021,52.571039,38.149758
Joseph R. Biden Jr.,3/6/2021,52.571039,38.149758
Joseph R. Biden Jr.,3/7/2021,52.503578,41.276483
Joseph R. Biden Jr.,3/7/2021,53.571039,38.149758
Joseph R. Biden Jr.,3/4/2021,56.662904,34.989944
Joseph R. Biden Jr.,3/8/2021,53.571039,38.149758
Joseph R. Biden Jr.,3/8/2021,51.609616,39.968994
Joseph R. Biden Jr.,3/8/2021,56.571039,36.149758
Joseph R. Biden Jr.,3/8/2021,49.968534,40.83808
Joseph R. Biden Jr.,3/9/2021,53.571039,38.149758
Joseph R. Biden Jr.,3/10/2021,53.571039,38.149758
Joseph R. Biden Jr.,3/9/2021,51.372983,39.403336
Joseph R. Biden Jr.,3/15/2021,53.223818,40.629441
Joseph R. Biden Jr.,3/11/2021,53.571039,38.149758
Joseph R. Biden Jr.,3/12/2021,53.571039,38.149758
Joseph R. Biden Jr.,3/13/2021,54.571039,37.149758
Joseph R. Biden Jr.,3/10/2021,61.372983,39.403336
Joseph R. Biden Jr.,3/11/2021,52.662904,38.989944
Joseph R. Biden Jr.,3/14/2021,54.571039,37.149758
Joseph R. Biden Jr.,3/13/2021,63.372983,37.403336
Joseph R. Biden Jr.,3/15/2021,53.571039,38.149758
Joseph R. Biden Jr.,3/16/2021,54.571039,37.149758
Joseph R. Biden Jr.,3/17/2021,54.571039,37.149758
Joseph R. Biden Jr.,3/18/2021,54.571039,37.149758
Joseph R. Biden Jr.,3/17/2021,54.372983,36.403336
Joseph R. Biden Jr.,3/19/2021,54.571039,37.149758
Joseph R. Biden Jr.,3/20/2021,54.571039,37.149758
Joseph R. Biden Jr.,3/19/2021,58.571039,35.149758
